008,0000008,14-05-2024,00001,01,
008,0000008,08-05-2024,00001,01,
008,0000008,02-05-2024,00001,01,
008,0000008,09-05-2024,00001,01,
008,0000008,10-05-2024,00001,01,
008,0000009,14-05-2024,00001,01,
008,0000009,08-05-2024,00001,01,
008,0000009,02-05-2024,00001,01,
008,0000009,09-05-2024,00001,01,
008,0000009,10-05-2024,00001,01,
008,0000009,11-05-2024,00001,01,
008,0000010,14-05-2024,00001,01,
008,0000010,08-05-2024,00001,01,
008,0000010,02-05-2024,00001,01,
008,0000010,09-05-2024,00001,01,
008,0000010,10-05-2024,00001,01,
